"학교종류","학교코드상태","학교코드","학교명","시도","도로명주소","상세주소","우편번호","교육청코드","학교유형","설립구분","원본수정일"
"고등학교","assigned","7801089","가곡고등학교","강원특별자치도","강원특별자치도 삼척시 가곡면 가곡천로 1427","","25954","K10","일반고","공립","20260423"
"고등학교","assigned","7801090","간동고등학교","강원특별자치도","강원특별자치도 화천군 간동면 파로호로 945-21","간동고등학교","24138","K10","일반고","공립","20260423"
"고등학교","assigned","7801091","갑천고등학교","강원특별자치도","강원특별자치도 횡성군 갑천면 갑천로 17","","25258","K10","일반고","공립","20260423"
"고등학교","assigned","7801092","강릉고등학교","강원특별자치도","강원특별자치도 강릉시 강릉대로587번길 68","(초당동)","25468","K10","일반고","공립","20260423"
"고등학교","assigned","7801093","강릉명륜고등학교","강원특별자치도","강원특별자치도 강릉시 율곡로 2920-8","(교동)","25491","K10","일반고","사립","20260423"
"고등학교","assigned","7801094","강릉문성고등학교","강원특별자치도","강원특별자치도 강릉시 지변길 158","(지변동)","25455","K10","일반고","사립","20260423"
"고등학교","assigned","7801095","강릉여자고등학교","강원특별자치도","강원특별자치도 강릉시 용지로 107","(옥천동)","25553","K10","일반고","공립","20260423"
"고등학교","assigned","7801096","강릉정보공업고등학교","강원특별자치도","강원특별자치도 강릉시 주문진읍 학교길 26","강릉정보공업고등학교","25424","K10","특성화고","공립","20260423"
"고등학교","assigned","7801097","강릉제일고등학교","강원특별자치도","강원특별자치도 강릉시 화부산로8번길 37","(교동)","25504","K10","일반고","공립","20260423"
"방송통신고등학교","assigned","7801098","강릉제일고등학교부설방송통신고등학교","강원특별자치도","강원도 강릉시 화부산로8번길 37","(교동)","25504","K10","일반고","공립","20260423"
"고등학교","assigned","7801099","강릉중앙고등학교","강원특별자치도","강원특별자치도 강릉시 강변로 422","강릉중앙고등학교(입암동)","25579","K10","특성화고","공립","20260423"
"고등학교","assigned","7801100","강원고등학교","강원특별자치도","강원특별자치도 춘천시 동면 장학길 24",",강원고등학교","24210","K10","일반고","사립","20260423"
"고등학교","assigned","7801101","강원과학고등학교","강원특별자치도","강원특별자치도 원주시 치악로 2242","강원과학고등학교(태장동)","26323","K10","특목고","공립","20260423"
"고등학교","assigned","7004207","강원대학교사범대학부설고등학교","강원특별자치도","강원특별자치도 춘천시 서부대성로 257","(후평동)","24286","K10","일반고","국립","20260423"
"고등학교","assigned","7801102","강원생명과학고등학교","강원특별자치도","강원특별자치도 춘천시 영서로 2872","(사농동)","24223","K10","특성화고","공립","20260423"
"고등학교","assigned","7801103","강원생활과학고등학교","강원특별자치도","강원특별자치도 홍천군 남면 새작들길 11","","25108","K10","특성화고","공립","20260423"
"고등학교","assigned","7801104","강원애니고등학교","강원특별자치도","강원특별자치도 춘천시 서면 박사로 1025","강원애니고등학교","24461","K10","특성화고","공립","20260423"
"고등학교","assigned","7801105","강원예술고등학교","강원특별자치도","강원특별자치도 강릉시 구정면 칠봉로 670-34","","25621","K10","특목고","공립","20260423"
"고등학교","assigned","7801106","강원외국어고등학교","강원특별자치도","강원특별자치도 양구군 양구읍 금강산로 437-12","강원외국어고등학교","24520","K10","일반고","사립","20260423"
"고등학교","assigned","7801107","강원체육고등학교","강원특별자치도","강원특별자치도 춘천시 자라우새길 126","(송암동)","24239","K10","특목고","공립","20260423"
"고등학교","assigned","7801108","강일여자고등학교","강원특별자치도","강원특별자치도 강릉시 화부산로 89","(교동)","25499","K10","일반고","사립","20260423"
"고등학교","assigned","7801109","거진고등학교","강원특별자치도","강원특별자치도 고성군 거진읍 거탄진로 39-7","","24720","K10","특성화고","공립","20260423"
"고등학교","assigned","7801110","경포고등학교","강원특별자치도","강원특별자치도 강릉시 강릉대로547번길 14","(포남동)","25482","K10","일반고","공립","20260423"
"고등학교","assigned","7801111","고성고등학교","강원특별자치도","강원특별자치도 고성군 간성읍 수성로 125","","24728","K10","일반고","공립","20260423"
"고등학교","assigned","7801112","고한고등학교","강원특별자치도","강원특별자치도 정선군 고한읍 고한9길 160","","26155","K10","일반고","공립","20260423"
"고등학교","assigned","7801113","기린고등학교","강원특별자치도","강원특별자치도 인제군 기린면 창암길 20","기린고등학교","24662","K10","일반고","공립","20260423"
"고등학교","assigned","7801114","김화고등학교","강원특별자치도","강원특별자치도 철원군 서면 와수1로 90","","24057","K10","일반고","공립","20260423"
"고등학교","assigned","7801116","내면고등학교","강원특별자치도","강원특별자치도 홍천군 내면 구룡령로 5174","","25171","K10","일반고","공립","20260423"
"고등학교","assigned","7801117","대성고등학교","강원특별자치도","강원특별자치도 원주시 북원로 2001","(무실동)","26385","K10","일반고","사립","20260423"
"고등학교","assigned","7801118","대진고등학교","강원특별자치도","강원특별자치도 고성군 현내면 화진포길 476","","24706","K10","일반고","공립","20260423"
"고등학교","assigned","7801119","대화고등학교","강원특별자치도","강원특별자치도 평창군 대화면 대화중앙로 32-8","","25360","K10","일반고","공립","20260423"
"고등학교","assigned","7801120","도계고등학교","강원특별자치도","강원특별자치도 삼척시 도계읍 도계느티로 69","도계고등학교","25948","K10","일반고","공립","20260423"
"고등학교","assigned","7801121","도계전산정보고등학교","강원특별자치도","강원특별자치도 삼척시 도계읍 도계느티로 24","","25948","K10","특성화고","공립","20260423"
"고등학교","assigned","7801122","동광산업과학고등학교","강원특별자치도","강원특별자치도 고성군 토성면 백촌길 30-15","동광산업과학고등학교","24754","K10","특성화고","공립","20260423"
"고등학교","assigned","7801123","동해광희고등학교","강원특별자치도","강원특별자치도 동해시 청운로 112","동해광희고등학교(동회동)","25806","K10","일반고","사립","20260423"
"고등학교","assigned","7801124","동해삼육고등학교","강원특별자치도","강원특별자치도 동해시 동해대로 5367","(천곡동)","25750","K10","일반고","사립","20260423"
"고등학교","assigned","7801125","동해상업고등학교","강원특별자치도","강원특별자치도 동해시 느릅재길 65","(발한동)","25740","K10","특성화고","공립","20260423"
"고등학교","assigned","7801126","둔내고등학교","강원특별자치도","강원특별자치도 횡성군 둔내면 둔내로 22","","25265","K10","일반고","공립","20260423"
"고등학교","assigned","7801127","마차고등학교","강원특별자치도","강원특별자치도 영월군 북면 문학로길 25-8","(북면, 마차중고등학교)","26209","K10","일반고","공립","20260423"
"고등학교","assigned","7801128","묵호고등학교","강원특별자치도","강원특별자치도 동해시 승지로 37","(부곡동)","25741","K10","일반고","공립","20260423"
"방송통신고등학교","assigned","7801129","묵호고등학교부설방송통신고등학교","강원특별자치도","강원도 동해시 승지로 37","(부곡동,묵호고등학교)","00000","K10","일반고","공립","20260423"
"고등학교","assigned","7801130","문막고등학교","강원특별자치도","강원특별자치도 원주시 문막읍 문막시장1길 58","문막고등학교","26373","K10","일반고","공립","20260423"
"고등학교","assigned","7801131","미래고등학교","강원특별자치도","강원특별자치도 원주시 고문골길 54","(행구동, 미래고등학교)","26455","K10","특성화고","공립","20260423"
"고등학교","assigned","7801132","민족사관고등학교","강원특별자치도","강원특별자치도 횡성군 안흥면 봉화로 800","","25268","K10","자율고","사립","20260423"
"고등학교","assigned","7801133","봉의고등학교","강원특별자치도","강원특별자치도 춘천시 후석로250번길 22","(후평동)","24313","K10","일반고","공립","20260423"
"고등학교","assigned","7801134","봉평고등학교","강원특별자치도","강원도 평창군 봉평면 기풍4길 27-6","(봉평면)","25303","K10","일반고","공립","20260423"
"고등학교","assigned","7801135","북원여자고등학교","강원특별자치도","강원특별자치도 원주시 원문로137번길 32","(단계동)","26410","K10","일반고","공립","20260423"
"고등학교","assigned","7801136","북평고등학교","강원특별자치도","강원도 동해시 효자남길 51","(동회동, 북평고등학교)","25806","K10","일반고","공립","20260423"
"고등학교","assigned","7801137","북평여자고등학교","강원특별자치도","강원도 동해시 동굴로 55","(천곡동, 북평여자고등학교)","25775","K10","일반고","공립","20260423"
"고등학교","assigned","7801138","사내고등학교","강원특별자치도","강원특별자치도 화천군 사내면 포화로 1093","","24156","K10","일반고","공립","20260423"
"고등학교","assigned","7801139","사북고등학교","강원특별자치도","강원특별자치도 정선군 사북읍 소금강로 3640","사북고등학교","26150","K10","일반고","공립","20260423"
"고등학교","assigned","7801140","삼일고등학교","강원특별자치도","강원특별자치도 삼척시 사직로 22",", 삼일중고등학교 (남양동, 삼일중고등학교)","25930","K10","일반고","사립","20260423"
"고등학교","assigned","7801141","삼척고등학교","강원특별자치도","강원특별자치도 삼척시 사대안길 21","(당저동)","25921","K10","일반고","공립","20260423"
"고등학교","assigned","7801142","삼척여자고등학교","강원특별자치도","강원특별자치도 삼척시 남산길 6","(남양동)","25930","K10","일반고","공립","20260423"
"고등학교","assigned","7801143","상동고등학교","강원특별자치도","강원특별자치도 영월군 상동읍 태백산로 3147","상동고등학교","26248","K10","일반고","공립","20260423"
"고등학교","assigned","7801144","상지대관령고등학교","강원특별자치도","강원특별자치도 평창군 대관령면 해당화3길 24","상지대관령고등학교","25345","K10","일반고","사립","20260423"
